month,trackable_open_rate,click_rate,engagement_score
1,45.462857142857146,14.25,23.613857142857142
2,52.2325,19.055,29.008249999999997
3,50.718,9.442,21.8248
4,100.0,40.0,58.0
5,94.12,22.83,44.217
6,84.66666666666667,9.526666666666667,32.068666666666665
7,86.88499999999999,21.165,40.881
9,85.28,25.89,43.706999999999994
10,84.46666666666667,33.89,49.063
11,61.05642857142857,8.574285714285715,24.318928571428568
12,87.49000000000001,21.228333333333335,41.106833333333334
