weekday_name,trackable_open_rate,click_rate,engagement_score
Lunes,71.21533333333333,19.516666666666666,35.026266666666665
Martes,64.6725,21.485,34.441250000000004
Miércoles,68.89153846153846,21.717692307692307,35.869846153846154
Jueves,67.485,11.107,28.020399999999995
Viernes,94.12,5.88,32.352
Sábado,59.5,1.165,18.665499999999998
